Recording	Participant	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	728	573118	573378	260	StudentC	1	0,67911	0,40957	3,06982
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	729	573698	573918	220	StudentA	0,90911	0,15713	0,25121	2,81309
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	730	574218	574797	580	StudentC	1	0,55123	0,66203	2,95961
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	731	574857	575217	360	StudentC	0,94446	0,54402	0,67002	3,035
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	732	575237	575337	100	StudentC	1	0,58152	0,71674	3,0477
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	733	575357	575497	140	StudentC	1	0,52596	0,74324	2,97505
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	734	575617	575737	120	StudentC	1	0,42736	0,75146	2,96598
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	735	575797	575977	180	StudentC	1	0,5927	0,64079	3,16242
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	736	576077	577816	1739	StudentC	1	0,5354	0,1822	3,17099
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	737	579255	579355	100	StudentC	1	0,62378	0,21878	2,98992
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	738	579375	581294	1919	StudentC	1	0,54166	0,20639	2,93266
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	739	581374	582113	740	StudentC	1	0,57796	0,21457	2,91998
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	740	582133	583932	1799	StudentC	1	0,55483	0,17675	2,9549
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	741	583952	584212	260	StudentC	1	0,68817	0,17565	3,00698
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	742	584332	585511	1179	StudentC	0,98304	0,50422	0,18028	3,01598
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	743	585731	586071	340	StudentC	1	0,49186	0,10843	3,00318
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	744	586251	586591	340	StudentA	1	0,33368	0,34604	2,99105
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	745	586611	586810	200	StudentB	1	0,4917	0,28957	2,98173
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	746	586910	587370	460	StudentC	1	0,67165	0,43145	3,03479
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	747	587390	587970	580	StudentC	1	0,6545	0,23874	3,1268
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	748	588390	588469	80		0	0,23889	0,15222	3,15044
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	749	588509	588649	140		0	0,17454	0,18847	3,09714
